Park Name,Opening Date,Closing Date
,,
Aaron,"May 20, 2016 to September 18, 2016","May 20, 2016 to September 18, 2016"
Algonquin,Day Use Only,"April 1, 2016 to March 31, 2017"
Algonquin - Achray,"April 22, 2016 to October 10, 2016","April 22, 2016 to October 10, 2016"
Algonquin - Backcountry,"Interior - April 1, 2016 to March 31, 2017","April 1, 2016 to March 31, 2017"
Algonquin - Brent,"April 22, 2016 to October 10, 2016","April 22, 2016 to October 10, 2016"
Algonqin - Canisbay Lake,"May 19, 2016 to October 10, 2016","May 19, 2016 to October 10, 2016"
Algonquin - Coon Lake,"May 19, 2016 to May 23, 2016","May 19, 2016 to May 23, 2016"
Algonquin - Coon Lake,"June 9, 2016 to September 5, 2016","June 9, 2016 to September 5, 2016"
Algonquin - Kearney Lake,"May 19, 2016 to May 23, 2016","May 19, 2016 to May 23, 2016"
Algonquin - Kearney Lake,"June 9, 2016 to September 5, 2016","June 9, 2016 to September 5, 2016"
Algonquin - Kiosk,"April 22, 2016 to October 10, 2016","April 22, 2016 to October 10, 2016"
Algonquin - Lake of Two Rivers,"May 19, 2016 to October 10, 2016","May 19, 2016 to October 10, 2016"
Algonquin - Mew Lake,"April 1, 2016 to March 31, 2017","April 1, 2016 to March 31, 2017"
Algonquin - Pog Lake,"May 19, 2016 to May 23, 2016","May 19, 2016 to May 23, 2016"
Algonquin - Pog Lake,"June 9, 2016 to September 5, 2016","June 9, 2016 to September 5, 2016"
Algonquin - Rock Lake,"April 22, 2016 to October 16, 2016","April 22, 2016 to October 16, 2016"
Algonquin - Tea Lake,"April 22, 2016 to May 23, 2016","April 22, 2016 to May 23, 2016"
Algonquin - Tea Lake,"June 9, 2016 to September 5, 2016","June 9, 2016 to September 5, 2016"
Algonquin - Whitefish Lake,"April 22, 2016 to October 11, 2016","April 22, 2016 to October 11, 2016"
Arrowhead,"May 13, 2016 to October 11, 2016","May 13, 2016 to October 11, 2016"
Arrowhead,"Winter Camping - December 9, 2016 to March 27, 2017","December 9, 2016 to March 27, 2017"
Awenda,"May 13, 2016 to October 11, 2016","April 1, 2016 to March 31, 2017"
Balsam Lake,"May 13, 2016 to October 11, 2016","May 13, 2016 to October 11, 2016"
Bass Lake,"May 13, 2016 to September 25, 2016","May 13, 2016 to September 25, 2016"
Batchawana,Day Use Only,"May 13, 2016 to October 10, 2016"
Biscotasi Lake,"May 6, 2016 to October 10, 2016","May 6, 2016 to October 10, 2016"
Blue Lake,"May 20, 2016 to September 18, 2016","May 20, 2016 to September 18, 2016"
Bon Echo,"May 13, 2016 to October 16, 2016","May 13, 2016 to October 16, 2016"
Bonnechere,"May 20, 2016 to October 11, 2016","May 20, 2016 to October 11, 2016"
Bronte Creek,"April 1, 2016 to October 23, 2016","April 1, 2016 to March 31, 2017"
Caliper Lake,"May 20, 2016 to September 11, 2016","May 20, 2016 to September 11, 2016"
Charleston Lake,"May 13, 2016 to October 11, 2016","May 13, 2016 to October 11, 2016"
Chutes,"May 20, 2016 to October 11, 2016","May 20, 2016 to October 11, 2016"
Craigleith,"April 8, 2016 to October 23, 2016","April 8, 2016 to October 23, 2016"
Darlington,"May 6, 2016 to October 11, 2016","April 1, 2016 to March 31, 2017"
Driftwood,"May 20, 2016 to September 18, 2016","May 20, 2016 to September 18, 2016"
Earl Rowe,"May 13, 2016 to October 11, 2016","May 13, 2016 to October 11, 2016"
Emily,"May 13, 2016 to October 11, 2016","May 13, 2016 to October 11, 2016"
Esker Lakes,"May 20, 2016 to September 5, 2016","May 20, 2016 to September 5, 2016"
Fairbank,"May 20, 2016 to September 5, 2016","May 20, 2016 to September 5, 2016"
Ferris,"May 13, 2016 to October 11, 2016","May 13, 2016 to October 11, 2016"
Finlayson Point,"May 20, 2016 to September 25, 2016","May 20, 2016 to September 25, 2016"
Fitzroy,"May 13, 2016 to October 11, 2016","May 13, 2016 to October 11, 2016"
Forks of the Credit,Day Use Only,"April 1, 2016 to March 31, 2017"
French River - Backcountry,"Interior - April 29, 2016 to October 30, 2016","April 29, 2016 to October 30, 2016"
Frontenac - Backcountry,"Interior - April 1, 2016 to March 31, 2017","April 1, 2016 to March 31, 2017"
Fushimi Lake,"May 20, 2016 to September 5, 2016","May 20, 2016 to September 5, 2016"
Grundy Lake,"May 13, 2016 to October 11, 2016","May 13, 2016 to October 11, 2016"
Halfway Lake,"May 20, 2016 to September 25, 2016","May 20, 2016 to September 25, 2016"
Inverhuron,"May 13, 2016 to October 11, 2016","May 13, 2016 to October 11, 2016"
Ivanhoe Lake,"May 20, 2016 to September 5, 2016","May 20, 2016 to September 5, 2016"
John E. Pearce,Day Use Only,"June 3, 2016 to October 10, 2016"
Kakabeka Falls,"May 20, 2016 to October 11, 2016","April 1, 2016 to March 31, 2017"
Kap-Kig-Iwan,"May 20, 2016 to September 25, 2016","May 20, 2016 to September 25, 2016"
Kawartha Highlands - Backcountry,"Interior - April 1, 2016 to March 31, 2017","April 1, 2016 to March 31, 2017"
Kettle Lakes,"May 20, 2016 to October 11, 2016","May 20, 2016 to October 11, 2016"
Killarney,"April 1, 2016 to March 31, 2017","April 1, 2016 to March 31, 2017"
Killbear,"May 13, 2016 to October 31, 2016","May 13, 2016 to October 31, 2016"
Lady Evelyn-Smoothwater - Backcountry,"Interior - April 29, 2016 to October 23, 2016","April 29, 2016 to October 23, 2016"
Lake on the Mountain,Day Use Only,"May 13, 2016 to October 10, 2016"
Lake St. Peter,"May 13, 2016 to October 11, 2016","May 13, 2016 to October 11, 2016"
Lake Superior - Backcountry,"Interior - May 6, 2016 to October 23, 2016","May 6, 2016 to October 23, 2016"
Lake Superior - Agawa Bay,,"May 20, 2016 to October 11, 2016"
Lake Superior - Rabbit Blanket,,"May 20, 2016 to October 10, 2016"
Long Point,"May 13, 2016 to October 11, 2016","May 13, 2016 to October 11, 2016"
MacGregor Point,"April 1, 2016 to March 31, 2017","April 1, 2016 to March 31, 2017"
MacLeod,"May 20, 2016 to September 25, 2016","May 20, 2016 to September 25, 2016"
Makobe-Grays River - Backcountry,"Interior - April 29, 2016 to October 23, 2016","April 29, 2016 to October 23, 2016"
Mara,"May 13, 2016 to September 5, 2016","May 13, 2016 to September 5, 2016"
Mark S. Burnham,Day Use Only,"May 6, 2016 to October 23, 2016"
Marten River,"May 20, 2016 to September 25, 2016","May 20, 2016 to September 25, 2016"
McRae Point,"May 13, 2016 to October 11, 2016","May 13, 2016 to October 11, 2016"
Mikisew,"June 17, 2016 to September 25, 2016","June 17, 2016 to September 25, 2016"
Misery Bay,Day Use Only,"May 20, 2016 to September 5, 2016"
Missinaibi,"May 6, 2016 to September 18, 2016","May 6, 2016 to September 18, 2016"
Mississagi,"May 20, 2016 to September 5, 2016","May 20, 2016 to September 5, 2016"
Mono Cliffs,Day Use Only,"April 1, 2016 to March 31, 2017"
Murphys Point,"May 13, 2016 to October 11, 2016","May 13, 2016 to October 11, 2016"
Murphys Point,Winter Day Use Only,"December 10, 2016 to March 12, 2017"
Nagagamisis,"May 20, 2016 to September 25, 2016","May 20, 2016 to September 25, 2016"
Neys,"May 20, 2016 to September 18, 2016","May 20, 2016 to September 18, 2016"
North Beach,Day Use Only,"June 17, 2016 to September 5, 2016"
Oastler Lake,"May 13, 2016 to October 11, 2016","May 13, 2016 to October 11, 2016"
Obabika River,"Interior - April 29, 2016 to October 23, 2016","April 29, 2016 to October 23, 2016"
Ojibway,"May 20, 2016 to September 5, 2016","May 20, 2016 to September 5, 2016"
Ouimet Canyon,Day Use Only,"May 20, 2016 to October 10, 2016"
Oxtongue River-Ragged Falls,Day Use Only,"May 13, 2016 to October 11, 2016"
Pakwash,"May 20, 2016 to September 18, 2016","May 20, 2016 to September 18, 2016"
Pancake Bay,"May 6, 2016 to October 11, 2016","May 6, 2016 to October 11, 2016"
Petroglyphs,Day Use Only,"May 13, 2016 to October 10, 2016"
Pigeon River,Day Use Only,"April 1, 2016 to March 31, 2017"
Point Farms,"May 13, 2016 to October 11, 2016","May 13, 2016 to October 11, 2016"
Port Bruce,Day Use Only,"May 13, 2016 to October 11, 2016"
Port Burwell,"May 13, 2016 to October 11, 2016","May 13, 2016 to October 11, 2016"
Potholes,Day Use Only,"June 10, 2016 to September 5, 2016"
Presqu'ile,"April 29, 2016 to October 11, 2016","April 1, 2016 to March 31, 2017"
Quetico - Backcountry,"Interior - April 1, 2016 to March 31, 2017","April 1, 2016 to March 31, 2017"
Quetico - Dawson Trail,,"May 20, 2016 to October 11, 2016"
Rainbow Falls - Whitesand Lake,"May 20, 2016 to September 18, 2016","May 20, 2016 to October 10, 2016"
Rainbow Falls - Rossport,"May 20, 2016 to October 11, 2016","May 20, 2016 to October 11, 2016"
René Brunelle,"May 20, 2016 to September 5, 2016","May 20, 2016 to September 5, 2016"
Restoule,"May 20, 2016 to October 11, 2016","April 8, 2016 to November 27, 2016"
Rideau River,"May 13, 2016 to September 18, 2016","May 13, 2016 to September 18, 2016"
Rock Point,"May 13, 2016 to October 11, 2016","May 13, 2016 to October 11, 2016"
Rondeau,"April 1, 2016 to October 30, 2016","April 1, 2016 to March 31, 2017"
Rushing River,"May 20, 2016 to September 18, 2016","April 1, 2016 to March 31, 2017"
Samuel de Champlain,"May 20, 2016 to October 11, 2016","May 20, 2016 to October 11, 2016"
Sandbanks,"April 29, 2016 to October 11, 2016","April 29, 2016 to October 11, 2016"
Sandbar Lake,"May 20, 2016 to September 18, 2016","May 20, 2016 to September 18, 2016"
Sauble Falls,"April 22, 2016 to October 30, 2016","April 22, 2016 to October 30, 2016"
Selkirk,"May 13, 2016 to September 5, 2016","May 13, 2016 to September 5, 2016"
Sharbot Lake,"May 13, 2016 to September 25, 2016","May 13, 2016 to September 25, 2016"
Sibbald Point,"May 13, 2016 to October 11, 2016","May 13, 2016 to October 11, 2016"
Silent Lake,"May 13, 2016 to October 11, 2016","May 13, 2016 to October 11, 2016"
Silent Lake,"Winter Camping - December 9, 2016 to March 19, 2017","December 9, 2016 to March 19, 2017"
Silver Lake,"May 19, 2016 to September 11, 2016","May 19, 2016 to September 11, 2016"
Sioux Narrows,"May 20, 2016 to September 11, 2016","May 20, 2016 to September 11, 2016"
Six Mile Lake,"May 13, 2016 to October 11, 2016","May 13, 2016 to October 11, 2016"
Sleeping Giant,"May 20, 2016 to October 11, 2016","April 1, 2016 to March 31, 2017"
Solace - Backcountry,"April 29, 2016 to October 23, 2016","April 29, 2016 to October 23, 2016"
Spanish River - Backcountry,"May 6, 2016 to October 10, 2016","May 6, 2016 to October 10, 2016"
Springwater,Day Use Only,"April 1, 2016 to March 31, 2017"
Sturgeon Bay,"May 13, 2016 to October 11, 2016","May 13, 2016 to October 11, 2016"
Surgeon River - Backcountry,"Interior - April 29, 2016 to October 23, 2016","April 29, 2016 to October 23, 2016"
The Massasauga - Backcountry,"Interior - April 29, 2016 to October 23, 2016","April 29, 2016 to October 23, 2016"
The Pinery,"April 1, 2016 to March 31, 2017","April 1, 2016 to March 31, 2017"
Tidewater,"June 25, 2016 to September 5, 2016","June 25, 2016 to September 5, 2016"
Turkey Point,"May 13, 2016 to October 11, 2016","May 13, 2016 to October 11, 2016"
Voyageur,"May 13, 2016 to October 11, 2016","May 13, 2016 to October 11, 2016"
Voyageur,Winter Day Use Only,"December 10, 2016 to March 12, 2017"
Wabakimi - Backcountry,"Interior - April 1, 2016 to March 31, 2017","April 1, 2016 to March 31, 2017"
Wakami Lake,"May 13, 2016 to September 25, 2016","May 13, 2016 to September 25, 2016"
Wasaga Beach,Day Use Only,"April 1, 2016 to October 10, 2016"
Wasaga Beach,Winter Day Use Only,"December 9, 2016 to March 19, 2017"
Wheatley,"April 8, 2016 to October 11, 2016","April 8, 2016 to October 11, 2016"
White Lake,"May 20, 2016 to September 25, 2016","May 20, 2016 to September 25, 2016"
Windy Lake,"May 20, 2016 to September 5, 2016","May 20, 2016 to September 5, 2016"
Windy Lake,"Winter Camping - January 6, 2017 to March 19, 2017","January 6, 2017 to March 19, 2017"
Woodland Caribou - Backcountry,"Interior - April 1, 2016 to March 31, 2017","April 1, 2016 to March 31, 2017"
