Source_NAME,Activity,Activity Description
Aaron,Biking,Biking is a popular way to wander through Aaron and view the Eastern White Cedars that line the campground roads. Children are reminded to wear a helmet when biking.
Aaron,Birding,Many bird species and migratory waterfall call Aaron home.
Aaron,Boating,Boating is permitted on Thunder Lake but please take care when there are high winds this open lake can get very choppy.
Aaron,Canoeing,Aaron is located on the shores of Thunder Lake.  Spend the day exploring by canoe. Canoes are available for rent at the Park Office. Aaron can also be used as a starting point for several major canoe routes.
Aaron,Fishing,"The lakes in and around the park teem with Northern Pike, walleye and Lake Trout. A fish-cleaning station with lights, running water and cutting tables is located by the boat launch."
Aaron,Hiking,"Aspen Trail - 2km, moderate  
The Aspen Trail will introduce you to stands of boreal forest consisting of aspen, birch, Jack Pine, Balsam Fir and spruce trees. Walk through the remnants of the terrific wind storm of 1973 and over bare rock surfaces scarred by glaciers which melted 10 to 15 thousand years ago! Look for signs of White-tailed Deer, such as browsed branches, tracks and pellets. All the while you will be entertained by Aaron’s 26 species of warblers, as well as other boreal songbirds."
Aaron,Swimming,"Aaron has two sandy beaches for swimmers that are located on the east and west sides of the park.  Parking, picnic tables and toilet facilities are conveniently located. Please note that there are no lifeguards posted at the beaches."
Algonquin,Biking,"The seat of your bike is a great way to see Algonquin’s lakes, rivers, and forests.  Enjoy biking experiences ranging from family friendly pedals to challenging mountain biking adventures."
Algonquin,Birding,"More than 260 bird species have been recorded in the Park. Many southern and overseas birders make special trips to Algonquin just to see northern specialties such as the Gray Jay and the Spruce Grouse, not to mention the rich variety of warblers or Algonquin’s most famous bird of all—the Common Loon, found nesting on just about every lake."
Algonquin,Boating,"Motor boats are not permitted on most lakes within the park, however there are some exceptions."
Algonquin,Canoeing,"Algonquin Provincial Park offers the canoeing enthusiast a network of over 2,100 km of canoe routes. A detailed map-brochure, Canoe Routes of Algonquin Park shows the entire park network of canoe routes, portages, and interior campsites. Elsewhere on the maps, detailed directions are given for 29 different access points along with complete information on planning and completing a canoe trip. A copy of this map can be purchased for $4.95 from the Friends of Algonquin Park."
Algonquin,Fishing,Algonquin has a reputation for some of the best trout fishing in Canada. More than 230 lakes have native Brook Trout and 149 have Lake Trout—a fantastic concentration of trout waters that continue to yield good fishing because of the Park’s tradition of wise conservation.
Algonquin,Hiking,"Whiskey Rapids Trail located at km 7.2 - 2.1 km (1.5hours) moderate
This looped trail leads along the Oxtongue River to scenic Whiskey Rapids. The trail guide discusses the ecology and history of an Algonquin river."
Algonquin,Hunting,"Hunting in this park is subject to the Ontario Hunting Regulations. Certain restrictions apply. For more information, contact the park or a Ministry of Natural Resources office."
Algonquin,Natural Heritage Education,"Conducted walks are led by park naturalists every day from late June to Labour Day. These consist of an hour and a half leisurely walk, exploring and learning about some part of the park environment. Times and locations are posted at bulletin boards within the parks."
Algonquin,Swimming,"The clear, clean lakes of Algonquin offer endless opportunities for swimming. All campgrounds and picnic areas have designed beach areas."
Algonquin,Winter Activities,"Algonquin Provincial Park has as much to offer the visitor in the winter as during the summer. Highway 60 is ploughed and sanded all winter and many trails are available for the winter visitor. The Algonquin Visitor Centre is open on winter weekends and daily during the March break. A valid permit is required to use the park. Permits can be purchased at the East or West Gates or at the self-service station at the Mew Lake Campground.  Snowshoeing enthusiasts can go virtually anywhere within the park except on cross-country ski trails. If you prefer a set trail, you might try one of the short walking trails along the Highway 60 corridor or one of the two longer backpacking trails."
Arrowhead,Biking,Arrowhead has two moderately challenging mountain bike trails – the 4.5 km Arrowhead Lake Trail and the 3 km Lookout Trail.
