Source_NAME,Text,following-sibling::*[1]
Aaron,Car Camping,"The campground offers almost 100 campsites, one-third of which have electricity.  Campsites can accommodate equipment ranging from tents only to large trailers.  Amenities such as water taps, comfort stations and laundry facilities are close by.  Swimming, boating, great fishing and hiking are only a short distance away."
Aaron,Group Camping,"Aaron has one group campsite.  The site accommodates 15 to 50 people.  Water taps and vault toilets are on site. The area is within walking distance of a comfort station, the beach and hiking trails.
To reserve, call the park directly: (807) 938-6534."
Algonquin,Backcountry Camping,Please refer to Algonquin’s backcountry park page for further information.
Algonquin,Car Camping,There are many car campgrounds available in Algonquin. Each varies in size and services meaning that each campground offers a unique experience. This allows guests to choose the campground and services that best suits their needs for their trip.
Algonquin,Dog-Free Camping,"Several campgrounds at Algonquin have designated dog-free areas including:  Canisbay, Mew Lake, Pog Lake, and Achray."
Algonquin,Group Camping,Whitefish Lake Group Campground is located on Highway 60 at km 37.  Please refer to the individual park listing for more details.
Algonquin,Radio-Free Camping,"Several campgrounds at Algonquin have designated radio-free areas including:  Canisbay, Mew Lake, Pog Lake, and Achray."
Algonquin,Walk-In Camping,Five walk-in campsites are available at Kingscote Lake Access Point.  Permits are available from Pinegrove Point Resort.
Arrowhead,Car Camping,"Arrowhead offers camping in three campgrounds: Roe, East River and Lumby.
 
Roe Campground generally offers the most private, well-drained sites. The beach near this campground is less crowded and offers great access for fishing."
Arrowhead,Radio-Free Camping,Roads 1-4 in East River and South Lumby Campground are radio free from May until September.
Awenda,Car Camping,Awenda offers camping in six campgrounds. Sites are shaded beneath Sugar Maples and Red Oaks and are spaced further apart than many other provincial parks. All of the sites in Wolf and some sites in Hawk Campground offer electrical hook-ups. Deer and Bear Campgrounds are designated radio-free while Snake Campground is both radio-free and dog-free.
Awenda,Dog-Free Camping,All campsites in Snake Campground are dog-free and radio-free.
Awenda,Group Camping,"Awenda offers three group campsites.  These sites are designated for tents only and are for groups ranging in size from a minimum of 20 to a maximum of 40 people.  Each site is serviced with a water tap, central fire pit, several picnic tables and vault toilets.  To reserve, call the park directly at 705-549-2231."
Awenda,Radio-Free Camping,"All campsites in Bear, Deer and Snake Campgrounds are radio-free."
Balsam Lake,Car Camping,"Balsam Lake has a range of campsites with and without electricity for tents and RVs. For a private, natural experience car access walk-in sites are also available. Campsites may be reserved from the second Friday in May through to the Thanksgiving weekend. Reservations are accepted five months in advance of arrival – reserve early to avoid disappointment."
Balsam Lake,Dog-Free Camping,Dog free camping is available at the six Eco (walk-in) sites.
Balsam Lake,Group Camping,At Balsam Lake there are three Group Camping sites serviced with vault privies and drinking water. The use of the site is for non-profit youth groups only and must be requested by completion of this application form.
Balsam Lake,Radio-Free Camping,"Eco (walk-in) sites, Cedar Grove, Mapleview and Hawthorne Valley campgrounds are now radio-free."
Balsam Lake,Walk-In Camping,"Six radio-free, pet free, Eco (walk-in) campsites are available."
Bass Lake,Car Camping,"Bass Lake’s car camping consists of four different campgrounds: Lakeview, Eastside, Cedar, and Hilltop. Each campground has access to washrooms and three of our four campgrounds have a shower building located inside the campground. Lakeview is a non-electrical campground. There is a fully serviced washroom and shower building located in this campground with smaller washrooms located throughout."
